Food;Height;Intellect;Life Exp;Strength;Weight;Carbohydrate;Fat;Protein;Calcium;Omega-3;Vitamin D;Bioregulator;Mitochondrial Amplifier;Nanite Nutrient;TotalAvailability
High-Fat;1;1;1;1;8;5;8;5;;;;;;;313
Mind Surge;1;6;6;1;1;1;2;10;;;;;;;45
Nutri-Core;3;3;3;3;3;3;3;3;;;;;;;67
Physique Fuel;5;1;1;5;1;2;2;4;;;;;;;14
Bone-Fortify;8;2;2;14;2;;;;10;2;3;;;;76
Endura-Growth;2;12;8;2;2;;;;3;4;4;;;;78
Immune Boost;6;6;6;6;6;3;1;2;3;3;3;;;;76
Muscle Fortification;2;2;2;15;8;;;;1;2;12;;;;38
Neuro-Boost;2;15;10;2;2;;;;3;10;3;;;;35
Hyper-Evolution;30;20;5;3;3;;;;;;;1;1;3;88
Mitochondrial Surge;20;3;12;28;3;;;;;;;2;2;2;88
Nanite Infusion;25;25;6;3;3;;1;;1;;;;;4;76
Ultimate Genesis;50;50;40;10;10;;;;;;;1;5;1;88
Pear;1;1;1;1;1;;;;;;;;;;300
