Memory;Adaptability;Communication;Creativity;Discipline;Empathy;Focus;Leadership;Logic;Patience;Wisdom;WorldCount
Angerkoski;20;;25;;;25;;;20;;30
Ash Notebook;100;100;100;100;100;100;100;100;100;100;10
Assembly Instructions;;;;2;;;;8;;;30
Basketball;;;;;;;;;1;;36
Biology Notes;;;;;;;;;;10;20
Blueprints;10;;;;;;;5;;;22
Bowling Ball;;;;;;;;;1;;16
Bowling Pin;;;;;;;;;1;;54
Breakdown;20;;25;;;25;;;20;;30
Camera;;5;5;;;;;;;;29
Cards;;5;;;5;;;;;;31
Chiptropolis;20;;25;;;25;;;20;;30
Cognitive Cards;7;;;;;;;5;;3;19
Commander's Log;;;;7;;;8;;;;31
Compass;6;;;;;3;3;;;;19
Crayon;;;5;;;2;;;;;23
Encyclopedia;;;;;;;;5;;10;21
First Aid;10;;;;;;;;;;15
Fluctuations;20;;25;;;25;;;20;;30
Guitar;;3;3;;;3;;;;;31
Guitar Slinger;20;;25;;;25;;;20;;30
Keys to Imagination;20;;25;;;25;;;20;;30
Lonelies;20;;25;;;25;;;20;;30
Love Letters;;;;;;;;;;10;15
Maps;;;;;;;5;;;10;26
Meditation;;;;;;5;;;;;19
Mirror;;;;;5;;;;;;22
Music Notes;;4;6;;;;;;;;16
Mystery Box;;;;;;;;;5;;23
Oath Token;50;50;50;50;50;50;50;50;50;50;1
PECO Athletics - 100m Dash;20;;25;;;25;;;20;;30
PECO Athletics - Javelin;20;;25;;;25;;;20;;30
PECO Athletics - Triple Jump;20;;25;;;25;;;20;;30
Plans;;8;;7;;;;;;;18
Porcine Vocal Interface;;100;50;;50;;;;;;10
Poushki;20;;25;;;25;;;20;;30
Programming Manual;;;;;;;;10;;;22
Second Reality;20;;25;;;25;;;20;;30
Small Human Art;;;;;5;;;;;;31
Small Tree;;;;5;;;;;5;;25
Starshine;20;;25;;;25;;;20;;30
Stopwatch;;;;;;;;;5;;23
Sudoku Book;;;;;;;;10;;;18
Survival Diagrams;10;;;;;;5;;;;14
Teddy Bear;;;;;3;;;;;;17
The Art of War;;5;;;;;10;;;;24
Tommy;;;;;3;;;;;;17
Touchin' the Chip;20;;25;;;25;;;20;;30
Travel Journal;10;;;;;;;;;;13
Turbulence;20;;25;;;25;;;20;;30
Where's Tommy;;;;;;5;;;5;;16
